company_name,Number_of_Jobs,Average_Rating
Symmetry Systems,7,3.6
ABB Ltd,7,4.0
A1 Human Wealth Management,7,3.6
Metlife,7,4.0
Xebia It Architects,7,3.0
Material+,7,2.7
Matangi Industries,7,3.3
Twilio,7,3.9
US MNC (Analytics),7,3.6
BMC Software,7,3.9
Marktine,7,4.0
HighSpring India LLP,7,3.1
tekskills india pvt ltd,7,3.6
Tecnimont,7,3.8
Team Computers,7,3.6
teamplus staffing solution,7,3.6
tekskills india,7,3.6
TD Synnex,6,3.8
Svitla Systems,6,3.6
oaknorth.ai,6,2.9
ITC Infotech,6,3.8
i2e Consulting,6,4.0
2coms,6,3.1
Barclaycard Payments,6,3.8
Zscaler LATAM,6,3.3
ZoomRx Healthcare Technology Solutions,6,2.7
Growexx,6,2.8
John Crane Sealing Systems India,6,3.4
HARMAN India,6,3.8
Jero Technologies,6,3.6
Jefferies Financial Group,6,2.2
Guidehouse,6,3.6
Srijan- A Material+ Company,6,3.1
Srijan Spectrum,6,3.0
KSB,6,3.7
Kenvue Brands LLC,6,3.6
Arsr Technologies,6,3.6
Sisl Infotech,6,3.5
Calderys India Refractories,6,4.1
Silverline It,6,3.6
CDM Smith,6,3.6
Amgen Inc,6,2.8
Taffi,6,3.6
Circle Internet Tech,6,3.6
Sbicap Securities,6,3.6
Cashos Technologies Pte Ltd,6,3.6
Seleccion Consulting,6,1.6
Certifyos,6,2.9
Cerebra,6,3.0
Codersarts,6,3.6
Rysun Labs,6,3.4
Client of Sampoorna Consultants Pvt. Ltd,6,3.6
Saarthee,6,3.7
SUMOLOGIC TECHNOLOGIES PRIVATE LIMITED,6,3.3
Saicon Technologies India,6,3.8
Classic Marble Company,6,3.5
Velocitai Digital,6,2.8
Amnex,6,3.9
Amiseq,6,3.8
Tarento Technologies,6,3.7
Zennial Pro,6,2.0
Getronics,6,4.3
Getinz Techno Services,6,3.8
Leading IT Firm,6,3.6
Gebbs Healthcare Solutions,6,3.8
Geak Minds,6,4.7
Livecareer India,6,4.1
M&G plc,6,3.1
MKS Instruments,6,3.0
Futran Tech Solutions,6,3.8
Retisio,6,4.8
Confidential,6,3.6
Cognitive View,6,3.6
Robusta Technology Group,6,3.6
Codeclouds It Solutions,6,3.9
Vinove Software,6,3.4
Vimerse Infotech,6,3.1
Vijay Mamra,6,4.8
Credence Resource Management,6,3.0
Randstad,6,3.68
Consulting Firm,6,3.6
Tata Consultancy Services(TCS),6,3.6
Arise Solutions,6,3.6
Macgence,6,3.0
MS Guide World,6,3.6
MMK Enterprises,6,3.6
Mancer Consulting Services,6,4.6
Marsh McLennan,6,3.8
Precision Medicine Group,6,3.9
Programmers io,6,3.9
Cybernetics Controls,6,3.6
Crowdstrike,6,3.9
BDO India,6,3.2
Pearson,6,3.9
Perpetuity Capital,6,4.9
Porter,6,3.5
